rut        nombres    apellidos  departament
   17382392juan       alberto    Diseño     
   13453223andres     aguila     Informática
   23123221patricia   mellado    Informática
   17362738sebastian  salazar    Informática
   17283941luis       herrera    Informática
   12222222hugo       herrera    Informática
   13333333marta      rojas      Informática
   14444444sara       rojas      Informática
   15555555bernardita rubilar    Prevención 
   16666666jonathan   cisternas  Matemática 
   17777777jilverto   silva      Industria  
   11111111pato       pae        Industria  
  111111118pamela     mellado    Física     
